LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01009048,Birmingham 040D,,8434
E01008881,Birmingham 067A,,8451
E01008994,Birmingham 074B,,8452
E01008882,Birmingham 066A,,8453
E01009220,Birmingham 008A,,8454
E01009102,Birmingham 141E,,8455
E01008941,Birmingham 115C,,8456
E01009160,Birmingham 125E,,8457
E01009221,Birmingham 007A,,8458
E01009222,Birmingham 008B,,8459
E01009223,Birmingham 013A,,8460
E01009224,Birmingham 008C,,8461
E01009225,Birmingham 013B,,8462
E01009226,Birmingham 017A,,8463
E01009227,Birmingham 013C,,8464
E01009228,Birmingham 013D,,8465
E01009229,Birmingham 017B,,8466
E01009230,Birmingham 017C,,8467
E01009231,Birmingham 017D,,8468
E01009232,Birmingham 022D,,8469
E01009233,Birmingham 008D,,8470
E01009234,Birmingham 019A,,8471
E01009235,Birmingham 016A,,8472
E01009236,Birmingham 019B,,8473
E01009237,Birmingham 024A,,8474
E01009238,Birmingham 024B,,8475
E01009239,Birmingham 033F,,8476
E01009240,Birmingham 024C,,8477
E01009241,Birmingham 024D,,8478
E01009242,Birmingham 024E,,8479
E01009243,Birmingham 016B,,8480
E01009244,Birmingham 019C,,8481
E01009245,Birmingham 016C,,8482
E01009246,Birmingham 016D,,8483
E01009161,Birmingham 125F,,8484
E01009247,Birmingham 016E,,8485
E01008883,Birmingham 078A,,8486
E01009162,Birmingham 124A,,8487
E01008942,Birmingham 117A,,8488
E01009248,Birmingham 019D,,8489
E01009103,Birmingham 029E,,8490
E01008884,Birmingham 078B,,8491
E01008995,Birmingham 134A,,8492
E01009164,Birmingham 130B,,8493
E01009049,Birmingham 032A,,8494
E01008943,Birmingham 117B,,8495
E01009249,Birmingham 080A,,8496
E01009104,Birmingham 141D,,8497
E01008885,Birmingham 076A,,8498
E01008996,Birmingham 074C,,8499
E01009165,Birmingham 129C,,8500
E01009050,Birmingham 035A,,8501
E01008944,Birmingham 115D,,8502
E01009250,Birmingham 080B,,8503
E01009105,Birmingham 025E,,8504
E01008886,Birmingham 076B,,8505
E01008997,Birmingham 074D,,8506
E01009166,Birmingham 131A,,8507
E01009051,Birmingham 033A,,8508
